id	proteins	go_cell	go_mol	go_bio	nb_proteins	mass_mean	length_mean
0.1.0	P25375 P25376 P32917 P32916 Q02875 P15180 P16522 P43535 P42951 Q04601 P36130 P50896 Q03707 P24482 P41895 P40850 Q12166 Q12168 P12754 Q07533 Q08485 P39723 P43553 P43556 Q99234 Q12083 P25333 P05030 P40460 P39012 P47116 P47112 P53746 Q04007 P38825 P38920 P53316 P32569 P43573 P43572 Q12311 P34243 P40489 P40485 P40483 P47139 P14242 P06208 P32356 Q02981 P36056 Q03162 Q06408 P11972 P32501 P34761 P22211 Q01477 Q12333 P53202 P53207 P38738 P38042 Q06251 P35172 P46151 Q07834 P32336 P38862 P36035 Q12102 P15108 P38781 P40528 Q06683 Q08683 P38250 P32833 P32786 P12688 Q05080 P42843 Q03654 Q04399 P41812 P41815 P38888 P38887 P36016 P36013 Q06339 P31688 Q03780 P39105 P53061 P53241 P53248 P23254 Q04377 P11325 P42826 P32487 P41833 P19657 P49367 P25574 P40566 P31376 P47033 P47030 P47031 P10870 P40955 Q06817 P09959 P38170 P32606 Q05670 P40897 P14747 P40090 P38769 P38760 Q06593 P28584 P46655 Q07655 P32791 Q08387 Q12188 P07252 P23561 P38700 P38708 Q08818 P37254 P46679 P26309 P33413 P33416 P19735 P07213 Q04279 P53185 P16862 P40050 P40053 P47050 Q12429 P39987 P39678 Q08225 Q05029 Q05021 P12945 P46951 P53169 Q12440 P05316 Q12202 Q12204 P54790 P48813 Q04233 P53140 Q04585 P53326 P40017 Q12072 Q08919 Q08912 Q12469 Q08269 Q04311 P15624 Q06216 P40357 P53128 P39923 P09435 Q01329 Q03466 Q04093 P41909 Q12387 P36102 P04801 P25360 P39016 P39011 P32909 P32901 P04397 Q02805 Q05468 P22516 P40310 P38993 P38623 P38196 P21672 P39717 P53835 P53388 P48365 P15424 P36124 P36122 P25341 Q07732 P40433 Q08754 Q08282 P53739 P27472 Q02866 P40150 P40157 P38818 Q12175 Q06639 Q12502 Q12500 P39732 Q05812 Q12348 P50082 P50080 P21524 P09232 P53973 P32367 P32368 P54199 P38830 P38835 Q06436 Q03407 P39533 P39535 P38227 P38229 Q00711 P38085 P38084 P32770 Q12098 P53955 Q07845 P43606 P32349 P38856 Q06411 Q06677 P32571 P32578 Q08108 Q12308 P19414 P53235 Q05164 Q05506 Q9ZZX1 P34230 P34231 P34239 P47147 P47144 Q07825 P24720 P32323 P38875 P36041 Q12114 Q02197 Q06479 P06775 P13188 Q08693 P34218 P34217 P35999 Q03281 Q07807 Q04748 P53918 Q02207 Q02206 P07342 Q03792 Q03824 P53051 P53278 P32797 P32794 P11484 P33203 Q03653 Q03656 Q07799 Q05930 Q05931 P27351 P53236 P25569 P36000 P36009 P06738 Q08438 P53070 P32801 P40965 Q03674 P32477 P15179 P20840 P40559 P38750 P38280 P47025 Q07980 P32864 Q05050 P33420 Q02724 P07244 Q12748 P49956 P21538 Q08968 P31384 P47005 P47002 P53038 P53036 P32843 P53297 P48237 P07264 Q07084 P38121 P21268 P14291 P06102 P32383 P53191 P24784 P05694 P38714 Q08949 Q12411 P35736 P28006 P15380 Q03388 P23900 P43596 P36085 Q03770 Q04924 P54784 Q12386 P32191 P32190 Q06245 P34160 Q05998 P33329 Q06053 Q03758 Q08908 Q08905 P03879 P03876 P03874 P03875 Q12453 P38315 P31244 P53131 P53137 P53134 P53863 P38088 P39936 P39935 P38335 P39682 P36033 Q05785 P11792 P37304 P53119 Q99257 Q08886 P33304 P38352 P17121 Q06224 P40367 P51534 Q06689 Q06488 P00958 P35056 P32589 P32580 P53394 P38254 P36115 P36114 P36117 P32525 P32831 P0CW40 	fungal-type vacuole [GO:0000324] cytoplasm [GO:0005737] Golgi apparatus [GO:0005794] mitochondrial intermembrane space [GO:0005758] 	metal ion binding [GO:0046872] metalloendopeptidase activity [GO:0004222] 	proteolysis [GO:0006508] peptide metabolic process [GO:0006518] 	415	82562.1590361	729.306024096
0.1.0.0	P25375 P25376 P32916 Q02875 P15180 P43535 P42951 P36130 P50896 Q03707 P40850 Q12166 Q12168 P12754 Q07533 Q08485 P43553 P43556 Q99234 P39012 P47116 P47112 P53746 Q04007 P38825 P53316 P32569 P43573 P34243 P40489 P40483 P47139 P06208 P32356 Q02981 P36056 Q03162 P11972 P32501 Q12333 P53202 P53207 P38738 Q06251 P35172 P46151 Q07834 P32336 P36035 P40528 P38250 P32786 Q05080 P42843 Q03654 P41815 P38887 P36016 P36013 P31688 Q03780 P39105 P53241 P53248 P23254 P11325 P42826 P32487 P41833 P49367 P25574 P40566 P47033 P47031 Q06817 P09959 P32606 P40897 P14747 P38769 P38760 P28584 P46655 Q07655 P32791 P38708 P37254 P46679 P33413 P19735 P07213 Q04279 P53185 P16862 P40050 P40053 Q12429 P39987 P39678 Q08225 Q05021 P12945 P46951 P53169 P05316 Q12202 Q12204 P48813 Q04233 P53140 Q04585 P53326 P40017 Q08919 Q08912 Q08269 Q04311 P15624 Q06216 P40357 P53128 P09435 Q04093 Q12387 P04801 P25360 P39016 P32909 P32901 P04397 Q05468 P22516 P40310 P38623 P38196 P21672 P53835 P53388 Q07732 P40433 Q08282 P27472 Q02866 P40157 P38818 Q12502 Q12500 P39732 Q12348 P50080 P21524 P09232 P32368 P38830 P38835 Q06436 P39533 P39535 P38227 P38229 Q00711 P38085 P38084 P32770 Q07845 P43606 P32349 Q06677 P32578 Q08108 P19414 Q05164 Q05506 P34231 P34239 P47147 P47144 Q07825 P24720 P32323 P38875 P36041 Q02197 Q06479 P06775 P13188 Q08693 P34217 P35999 Q03281 Q04748 P53918 Q02207 P07342 Q03792 Q03824 P53051 P53278 P32794 P33203 Q03653 Q07799 Q05931 P25569 P36009 P06738 Q08438 P53070 Q03674 P32477 P15179 P20840 P38750 P38280 P47025 Q05050 P33420 Q02724 P07244 P49956 P21538 Q08968 P47005 P47002 P53038 P53036 P07264 Q07084 P38121 P21268 P05694 P38714 Q12411 P35736 P15380 P36085 Q03770 Q04924 Q05998 P33329 Q06053 Q03758 Q08908 Q08905 P03879 P03874 Q12453 P38315 P31244 P53137 P53134 P38088 P38335 P39682 P36033 P37304 P53119 Q99257 P38352 P40367 P51534 Q06689 P00958 P35056 P32589 P32580 P53394 P38254 P36114 P32525 P32831 P0CW40 	fungal-type vacuole [GO:0000324] cytoplasm [GO:0005737] Golgi apparatus [GO:0005794] mitochondrial intermembrane space [GO:0005758] 	metal ion binding [GO:0046872] metalloendopeptidase activity [GO:0004222] 	proteolysis [GO:0006508] peptide metabolic process [GO:0006518] 	272	81230.1691176	719.044117647
0.1.0.1	P32917 P33304 	plasma membrane [GO:0005886] nucleus [GO:0005634] mating projection tip [GO:0043332] cytoplasm [GO:0005737] 	MAP-kinase scaffold activity [GO:0005078] phosphatidylinositol-4,5-bisphosphate binding [GO:0005546] 	invasive growth in response to glucose limitation [GO:0001403] negative regulation of MAPK cascade [GO:0043409] positive regulation of protein phosphorylation [GO:0001934] pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750] regulation of transposition, RNA-mediated [GO:0010525] 	2	87045.5	768.5
0.1.0.2	P16522 Q04601 P38042 Q08683 Q12440 	condensed chromosome kinetochore [GO:0000777] anaphase-promoting complex [GO:0005680] 	cyclin binding [GO:0030332] 	protein ubiquitination [GO:0016567] cell division [GO:0051301] anaphase-promoting complex-dependent catabolic process [GO:0031145] mitotic nuclear division [GO:0007067] regulation of mitotic metaphase/anaphase transition [GO:0030071] 	5	82603.8	714.8
0.1.0.3	P24482 Q12098 	epsilon DNA polymerase complex [GO:0008622] cytoplasm [GO:0005737] nucleus [GO:0005634] 	DNA-directed DNA polymerase activity [GO:0003887] DNA binding [GO:0003677] 	DNA-dependent DNA replication maintenance of fidelity [GO:0045005] error-prone translesion synthesis [GO:0042276] cell cycle [GO:0007049] heterochromatin organization involved in chromatin silencing [GO:0070868] DNA-dependent DNA replication [GO:0006261] 	2	81351.0	718.5
0.1.0.4	P41895 	transcription factor TFIIF complex [GO:0005674] 	catalytic activity [GO:0003824] transcription factor activity, core RNA polymerase II binding [GO:0000991] protein phosphatase activator activity [GO:0072542] DNA binding [GO:0003677] 	regulation of protein serine/threonine phosphatase activity [GO:0080163] dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940] RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123] positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968] transcriptional start site selection at RNA polymerase II promoter [GO:0001174] transcription elongation from RNA polymerase II promoter [GO:0006368] transcription initiation from RNA polymerase II promoter [GO:0006367] promoter clearance from RNA polymerase II promoter [GO:0001111] 	1	82194.0	735.0
0.1.0.5	P39723 	outer plaque of spindle pole body [GO:0005824] 	structural constituent of cytoskeleton [GO:0005200] 	karyogamy [GO:0000741] cell division [GO:0051301] mitotic sister chromatid segregation [GO:0000070] mitotic spindle orientation checkpoint [GO:0031578] nuclear migration along microtubule [GO:0030473] mitotic spindle elongation [GO:0000022] microtubule nucleation [GO:0007020] 	1	72106.0	622.0
0.1.0.6	Q12083 P38920 P14242 P53061 Q12188 Q08818 Q12175 Q05812 P40965 Q07980 P14291 	synaptonemal complex [GO:0000795] nucleus [GO:0005634] MutLgamma complex [GO:0097587] chiasma [GO:0005712] 	ATP binding [GO:0005524] single-stranded DNA binding [GO:0003697] mismatched DNA binding [GO:0030983] ATPase activity [GO:0016887] 	reciprocal meiotic recombination [GO:0007131] mismatch repair [GO:0006298] meiotic mismatch repair [GO:0000710] 	11	87648.4545455	769.272727273
0.1.0.7	P25333 	nucleus [GO:0005634] cytoplasm [GO:0005737] mitochondrion [GO:0005739] 	ATP binding [GO:0005524] protein kinase activity [GO:0004672] protein serine/threonine kinase activity [GO:0004674] 	regulation of iron-sulfur cluster assembly [GO:1903329] intracellular signal transduction [GO:0035556] cellular protein localization [GO:0034613] cellular cation homeostasis [GO:0030003] protein dephosphorylation [GO:0006470] protein lipoylation [GO:0009249] G1/S transition of mitotic cell cycle [GO:0000082] 	1	66666.0	603.0
0.1.0.8	P05030 P19657 	integral component of plasma membrane [GO:0005887] plasma membrane [GO:0005886] membrane raft [GO:0045121] 	metal ion binding [GO:0046872] ATP binding [GO:0005524] hydrogen-exporting ATPase activity, phosphorylative mechanism [GO:0008553] 	regulation of intracellular pH [GO:0051453] ATP biosynthetic process [GO:0006754] transmembrane transport [GO:0055085] proteasome storage granule assembly [GO:1902906] proton transport [GO:0015992] regulation of pH [GO:0006885] 	2	100895.5	932.5
0.1.0.9	P40460 Q12748 	condensed nuclear chromosome kinetochore [GO:0000778] condensed nuclear chromosome, centromeric region [GO:0000780] Ndc80 complex [GO:0031262] 	structural constituent of cytoskeleton [GO:0005200] 	chromosome segregation [GO:0007059] mitotic spindle organization [GO:0007052] cell division [GO:0051301] establishment of mitotic spindle orientation [GO:0000132] attachment of mitotic spindle microtubules to kinetochore [GO:0051315] protein localization to kinetochore [GO:0034501] microtubule nucleation [GO:0007020] 	2	82369.5	712.0
0.1.0.10	P43572 P06102 	NuA4 histone acetyltransferase complex [GO:0035267] Piccolo NuA4 histone acetyltransferase complex [GO:0032777] 	 	positive regulation of macroautophagy [GO:0016239] DNA repair [GO:0006281] histone acetylation [GO:0016573] cell cycle [GO:0007049] transcription, DNA-templated [GO:0006351] regulation of transcription from RNA polymerase II promoter [GO:0006357] 	2	95570.5	834.0
0.1.0.11	Q12311 P31376 Q12072 P36124 Q03388 P43596 Q12386 	NuA3b histone acetyltransferase complex [GO:1990468] NuA3a histone acetyltransferase complex [GO:1990467] cytoplasm [GO:0005737] NuA3 histone acetyltransferase complex [GO:0033100] 	zinc ion binding [GO:0008270] methylated histone binding [GO:0035064] 	histone acetylation [GO:0016573] regulation of transcription, DNA-templated [GO:0006355] transcription, DNA-templated [GO:0006351] 	7	88450.7142857	771.285714286
0.1.0.12	P40485 P53955 	TORC2 complex [GO:0031932] plasma membrane [GO:0005886] 	sphingolipid binding [GO:0046625] phosphatidylinositol-4,5-bisphosphate binding [GO:0005546] 	TORC2 signaling [GO:0038203] actin cytoskeleton organization [GO:0030036] actin filament bundle assembly [GO:0051017] regulation of cell growth [GO:0001558] TOR signaling [GO:0031929] establishment or maintenance of actin cytoskeleton polarity [GO:0030950] endosomal transport [GO:0016197] establishment of protein localization to plasma membrane [GO:0090002] eisosome assembly [GO:0070941] 	2	76390.0	671.0
0.1.0.13	Q06408 	cytoplasm [GO:0005737] 	carboxy-lyase activity [GO:0016831] magnesium ion binding [GO:0000287] thiamine pyrophosphate binding [GO:0030976] phenylpyruvate decarboxylase activity [GO:0050177] 	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000950] tyrosine catabolic process [GO:0006572] tryptophan catabolic process [GO:0006569] aromatic amino acid family catabolic process to alcohol via Ehrlich pathway [GO:0000949] methionine catabolic process to 3-methylthiopropanol [GO:0000951] leucine catabolic process [GO:0006552] L-phenylalanine catabolic process [GO:0006559] 	1	71384.0	635.0
0.1.0.14	P34761 	cytoplasm [GO:0005737] cytoplasmic stress granule [GO:0010494] 	nucleotide binding [GO:0000166] mRNA binding [GO:0003729] 	positive regulation of cell-substrate adhesion [GO:0010811] cell wall organization or biogenesis [GO:0071554] mRNA destabilization [GO:0061157] positive regulation of transcription, DNA-templated [GO:0045893] cytoplasmic sequestering of protein [GO:0051220] positive regulation of cell size [GO:0045793] positive regulation of translational elongation [GO:0045901] cell cycle [GO:0007049] regulation of cell size [GO:0008361] positive regulation of response to extracellular stimulus [GO:0032106] invasive growth in response to glucose limitation [GO:0001403] positive regulation of translation [GO:0045727] regulation of mRNA catabolic process [GO:0061013] pseudohyphal growth [GO:0007124] 	1	71253.0	661.0
0.1.0.15	P22211 P25341 P53739 P32383 	plasma membrane [GO:0005886] nucleus [GO:0005634] cytoplasm [GO:0005737] Golgi apparatus [GO:0005794] 	ATP binding [GO:0005524] protein serine/threonine kinase activity [GO:0004674] 	protein phosphorylation [GO:0006468] regulation of nitrogen utilization [GO:0006808] intracellular signal transduction [GO:0035556] regulation of transmembrane transporter activity [GO:0022898] negative regulation of endocytosis [GO:0045806] regulation of sphingolipid biosynthetic process [GO:0090153] 	4	92136.5	818.0
0.1.0.16	Q01477 	Ubp3-Bre5 deubiquitination complex [GO:1990861] cytoplasm [GO:0005737] 	thiol-dependent ubiquitin-specific protease activity [GO:0004843] mRNA binding [GO:0003729] 	ubiquitin-dependent protein catabolic process [GO:0006511] regulation of response to osmotic stress [GO:0047484] regulation of ER to Golgi vesicle-mediated transport [GO:0060628] protein deubiquitination [GO:0016579] ribophagy [GO:0034517] 	1	101917.0	912.0
0.1.0.17	P38862 	pre-autophagosomal structure [GO:0000407] membrane [GO:0016020] cytosol [GO:0005829] extrinsic component of pre-autophagosomal structure membrane [GO:0097632] 	Atg12 activating enzyme activity [GO:0019778] Atg8 activating enzyme activity [GO:0019779] 	piecemeal microautophagy of nucleus [GO:0034727] mitophagy [GO:0000422] macroautophagy [GO:0016236] cellular response to nitrogen starvation [GO:0006995] late nucleophagy [GO:0044805] CVT pathway [GO:0032258] autophagy [GO:0006914] protein catabolic process [GO:0030163] C-terminal protein lipidation [GO:0006501] protein modification by small protein conjugation [GO:0032446] 	1	71428.0	630.0
0.1.0.18	Q12102 Q01329 P53297 Q06224 	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847] mRNA cleavage factor complex [GO:0005849] 	RNA binding [GO:0003723] 	pre-mRNA cleavage required for polyadenylation [GO:0098789] mRNA polyadenylation [GO:0006378] 	4	87795.5	786.25
0.1.0.19	P15108 P33416 	mitochondrion [GO:0005739] 	ATP binding [GO:0005524] ATPase activity, coupled [GO:0042623] unfolded protein binding [GO:0051082] ATPase activity [GO:0016887] 	'de novo' protein folding [GO:0006458] telomere maintenance [GO:0000723] protein folding [GO:0006457] cellular response to heat [GO:0034605] proteasome assembly [GO:0043248] protein refolding [GO:0042026] box C/D snoRNP assembly [GO:0000492] 	2	86118.0	758.0
0.1.0.20	P38781 Q06639 Q02206 P53236 	RSC complex [GO:0016586] 	zinc ion binding [GO:0008270] RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981] sequence-specific DNA binding [GO:0043565] 	double-strand break repair via nonhomologous end joining [GO:0006303] nucleosome disassembly [GO:0006337] chromatin modification [GO:0016569] regulation of transcription, DNA-templated [GO:0006355] transcription elongation from RNA polymerase II promoter [GO:0006368] 	4	95503.75	830.25
0.1.0.21	Q06683 P53235 P24784 P39936 P39935 	cytoplasmic ribonucleoprotein granule [GO:0036464] mitochondrial matrix [GO:0005759] 	ATP binding [GO:0005524] DNA binding [GO:0003677] double-stranded DNA-dependent ATPase activity [GO:0033676] ATP-dependent RNA helicase activity [GO:0004004] 	chromosome segregation [GO:0007059] RNA secondary structure unwinding [GO:0010501] translational initiation [GO:0006413] mitochondrial DNA metabolic process [GO:0032042] regulation of gene expression [GO:0010468] 	5	85753.6	762.8
0.1.0.22	P32833 P54790 P34218 P54784 	nuclear pre-replicative complex [GO:0005656] chromosome, telomeric region [GO:0000781] nuclear origin of replication recognition complex [GO:0005664] DNA replication preinitiation complex [GO:0031261] 	DNA replication origin binding [GO:0003688] chromatin binding [GO:0003682] 	chromatin silencing at telomere [GO:0006348] pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267] chromatin silencing at silent mating-type cassette [GO:0030466] histone H3-K4 methylation [GO:0051568] DNA replication initiation [GO:0006270] 	4	86324.25	745.25
