Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q00362	526	59,662	developmental process [GO:0032502]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of exit from mitosis [GO:0001100]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription by transcription factor localization [GO:0061586]; protein dephosphorylation [GO:0006470]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]	protein phosphatase type 2A regulator activity [GO:0008601]	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]
Q08361	143	15,722	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
Q07747	329	36,977	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P23542	418	46,058	2-oxoglutarate metabolic process [GO:0006103]; asparagine biosynthetic process from oxaloacetate [GO:0019266]; aspartate biosynthetic process [GO:0006532]; aspartate metabolic process [GO:0006531]; glutamate metabolic process [GO:0006536]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]; peroxisome [GO:0005777]
Q01802	451	51,795	2-oxoglutarate metabolic process [GO:0006103]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; biosynthetic process [GO:0009058]; chronological cell aging [GO:0001300]; glutamate metabolic process [GO:0006536]; replicative cell aging [GO:0001302]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P39970	489	54,592	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	sequence-specific DNA binding [GO:0043565]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	nucleus [GO:0005634]
P28240	557	62,409	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]; transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912]	cytoplasm [GO:0005737]; proteinaceous extracellular matrix [GO:0005578]; vacuole [GO:0005773]
Q03771	387	42,943	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; ribosome biogenesis [GO:0042254]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
P39533	789	86,583	lysine biosynthetic process via aminoadipic acid [GO:0019878]; tricarboxylic acid cycle [GO:0006099]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]
P19414	778	85,368	mitochondrial genome maintenance [GO:0000002]; protein targeting to mitochondrion [GO:0006626]; tricarboxylic acid cycle [GO:0006099]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; double-stranded DNA binding [GO:0003690]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]
P14164	731	81,753	chromatin remodeling [GO:0006338]; chromatin silencing at silent mating-type cassette [GO:0030466]; DNA-dependent DNA replication [GO:0006261]; global genome nucleotide-excision repair [GO:0070911]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	core promoter sequence-specific DNA binding [GO:0001046]; DNA replication origin binding [GO:0003688]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific DNA binding, bending [GO:0044374]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	nucleotide-excision repair factor 4 complex [GO:0000113]; nucleus [GO:0005634]
P47146	123	14,204	microtubule cytoskeleton organization [GO:0000226]		
P31787	87	10,061	chronological cell aging [GO:0001300]; long-chain fatty acid transport [GO:0015909]	fatty-acyl-CoA binding [GO:0000062]; lipid binding [GO:0008289]; long-chain fatty acid transporter activity [GO:0005324]	extracellular region [GO:0005576]
Q01574	713	79,141	acetate fermentation [GO:0019654]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; histone acetylation [GO:0016573]	acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P10127	382	41,142	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; fermentation [GO:0006113]	alcohol dehydrogenase (NAD) activity [GO:0004022]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]
P38903	757	85,335	cellular bud neck septin ring organization [GO:0032186]; cellular protein localization [GO:0034613]; establishment of protein localization to chromosome [GO:0070199]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle orientation checkpoint [GO:0031578]; protein dephosphorylation [GO:0006470]; septin ring disassembly [GO:0031107]; signal transduction [GO:0007165]; sister chromatid biorientation [GO:0031134]	protein phosphatase type 2A regulator activity [GO:0008601]	cellular bud neck [GO:0005935]; condensed nuclear chromosome, centromeric region [GO:0000780]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; spindle pole body [GO:0005816]
P31383	635	70,907	mitotic spindle assembly checkpoint [GO:0007094]; protein dephosphorylation [GO:0006470]; regulation of translation [GO:0006417]		cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; spindle pole body [GO:0005816]
P47177	404	45,159		nitronate monooxygenase activity [GO:0018580]	cytoplasm [GO:0005737]
P47129	309	35,521			
P60010	375	41,690	actomyosin contractile ring contraction [GO:0000916]; ascospore wall assembly [GO:0030476]; budding cell isotropic bud growth [GO:0007119]; cellular response to oxidative stress [GO:0034599]; chronological cell aging [GO:0001300]; DNA repair [GO:0006281]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; establishment of mitotic spindle orientation [GO:0000132]; exocytosis [GO:0006887]; fungal-type cell wall organization [GO:0031505]; histone acetylation [GO:0016573]; mitochondrion inheritance [GO:0000001]; protein secretion [GO:0009306]; vacuole inheritance [GO:0000011]; vesicle transport along actin filament [GO:0030050]	ATP binding [GO:0005524]; structural constituent of cytoskeleton [GO:0005200]	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud neck contractile ring [GO:0000142]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]
P21192	770	86,634	positive regulation of cell separation after cytokinesis [GO:2001043]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; transcription, DNA-templated [GO:0006351]	core promoter proximal region sequence-specific DNA binding [GO:0000987]; metal ion binding [GO:0046872]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q12031	575	64,976	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	methylisocitrate lyase activity [GO:0046421]; transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912]	mitochondrial matrix [GO:0005759]
P52910	683	75,492	acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; histone acetylation [GO:0016573]; pyruvate metabolic process [GO:0006090]; replicative cell aging [GO:0001302]	acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P04710	309	34,121	aerobic respiration [GO:0009060]; heme biosynthetic process [GO:0006783]; heme transport [GO:0015886]; mitochondrial transport [GO:0006839]; protein targeting to mitochondrion [GO:0006626]; translation [GO:0006412]	ATP:ADP antiporter activity [GO:0005471]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]
P18238	307	33,313	anaerobic respiration [GO:0009061]; heme transport [GO:0015886]; translation [GO:0006412]; transmembrane transport [GO:0055085]	ATP:ADP antiporter activity [GO:0005471]; structural constituent of ribosome [GO:0003735]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P25613	283	30,726	acetate transport [GO:0006846]; ammonium transport [GO:0015696]; meiotic cell cycle [GO:0051321]; nitrogen utilization [GO:0019740]; plasma membrane acetate transport [GO:0006847]; transmembrane transport [GO:0055085]	acetate transmembrane transporter activity [GO:0015123]; ammonium transmembrane transporter activity [GO:0008519]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
P33304	620	71,364	cell morphogenesis involved in conjugation [GO:0000767]; cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; regulation of G-protein coupled receptor protein signaling pathway [GO:0008277]	receptor signaling protein activity [GO:0005057]	mating projection base [GO:0001400]
P32323	725	73,354	agglutination involved in conjugation with cellular fusion [GO:0000752]	cell adhesion molecule binding [GO:0050839]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P47182	288	32,570	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P12904	322	36,401	carbohydrate metabolic process [GO:0005975]; peroxisome organization [GO:0007031]; positive regulation of gluconeogenesis [GO:0045722]; protein phosphorylation [GO:0006468]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; replicative cell aging [GO:0001302]; transcription, DNA-templated [GO:0006351]	ATP binding [GO:0005524]; catalytic activity [GO:0003824]; protein serine/threonine kinase activator activity [GO:0043539]	cytoplasm [GO:0005737]; nuclear envelope lumen [GO:0005641]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q08641	628	71,486	actin filament bundle assembly [GO:0051017]; tRNA methylation [GO:0030488]	actin filament binding [GO:0051015]; protein binding, bridging [GO:0030674]; tRNA (cytosine-3-)-methyltransferase activity [GO:0052735]	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]
P53319	492	53,923	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	cytosol [GO:0005829]
P42884	376	41,991	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P43547	212	23,919	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P47096	177	20,235	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; quinolinate metabolic process [GO:0046874]; tryptophan catabolic process [GO:0006569]	3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40433	827	93,417	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]
Q04894	360	39,618	alcohol metabolic process [GO:0006066]; cellular aldehyde metabolic process [GO:0006081]; furaldehyde metabolic process [GO:0033859]	alcohol dehydrogenase (NADP+) activity [GO:0008106]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; hydroxymethylfurfural reductase (NADPH) activity [GO:0033845]; zinc ion binding [GO:0008270]	
P25377	361	39,348	alcohol metabolic process [GO:0006066]	alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]	
Q05955	493	57,833	cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; sporulation resulting in formation of a cellular spore [GO:0030435]	structural molecule activity [GO:0005198]	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]
P22136	580	67,523	mitochondrial translational initiation [GO:0070124]; regulation of translation [GO:0006417]	RNA binding [GO:0003723]	mitochondrion [GO:0005739]
Q12089	606	70,310	mitochondrial translational initiation [GO:0070124]; mRNA metabolic process [GO:0016071]		extrinsic component of membrane [GO:0019898]; mitochondrial inner membrane [GO:0005743]
P32794	780	84,748	response to drug [GO:0042493]; ribosomal large subunit biogenesis [GO:0042273]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	intracellular [GO:0005622]; preribosome, large subunit precursor [GO:0030687]
Q99222	893	102,250	actin cortical patch localization [GO:0051666]; asymmetric protein localization [GO:0008105]; cellular bud site selection [GO:0000282]		cell cortex [GO:0005938]; cellular bud neck [GO:0005935]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P25649	128	15,117	histone acetylation [GO:0016573]		Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; cytoplasm [GO:0005737]
P87275	137	15,753			integral component of membrane [GO:0016021]
P53109	570	65,840	apoptotic process [GO:0006915]; ion transport [GO:0006811]; regulation of actin cytoskeleton organization [GO:0032956]	oxidoreductase activity, oxidizing metal ions [GO:0016722]; superoxide-generating NADPH oxidase activity [GO:0016175]	integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]
P38884	321	36,502		intramolecular lyase activity [GO:0016872]	mitochondrion [GO:0005739]
P40502	157	16,924			integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P38266	947	103,863	actin cortical patch assembly [GO:0000147]; barbed-end actin filament capping [GO:0051016]		actin cortical patch [GO:0030479]; membrane raft [GO:0045121]
P38885	310	34,113		intramolecular lyase activity [GO:0016872]	mitochondrion [GO:0005739]
P40350	334	38,347	dolichol metabolic process [GO:0019348]; GPI anchor biosynthetic process [GO:0006506]; protein N-linked glycosylation [GO:0006487]; protein O-linked mannosylation [GO:0035269]	dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]; dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P32375	460	50,126	allantoin assimilation pathway [GO:0009442]; purine nucleobase metabolic process [GO:0006144]	allantoinase activity [GO:0004038]; cobalt ion binding [GO:0050897]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; zinc ion binding [GO:0008270]	
P47029	1046	117,216	positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; regulation of intracellular transport [GO:0032386]; ubiquitin-dependent endocytosis [GO:0070086]	protein binding, bridging [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	early endosome [GO:0005769]; late endosome [GO:0005770]
P07248	1323	150,941	cellular response to oleic acid [GO:0071400]; chromatin organization [GO:0006325]; negative regulation of chromatin silencing [GO:0031936]; peroxisome organization [GO:0007031]; positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter [GO:0061425]; positive regulation of fatty acid beta-oxidation by positive regulation of transcription from RNA polymerase II promoter [GO:0097235]; positive regulation of peroxisome organization by positive regulation of transcription from RNA polymerase II promoter [GO:0061424]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]; positive regulation of transcription from RNA polymerase II promoter in response to ethanol [GO:0061410]	metal ion binding [GO:0046872]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; TFIIB-class transcription factor binding [GO:0001093]; TFIID-class transcription factor binding [GO:0001094]; transcriptional activator activity, RNA polymerase II transcription factor binding [GO:0001190]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	nucleus [GO:0005634]
Q04412	482	54,494	ER to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]	endosome [GO:0005768]; trans-Golgi network [GO:0005802]
P25376	633	69,671	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-proline transmembrane transporter activity [GO:0015193]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
Q12156	149	17,130	actin filament debranching [GO:0071846]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]	Arp2/3 complex binding [GO:0071933]	actin cortical patch [GO:0030479]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P52893	592	66,422	alanine biosynthetic process [GO:0006523]; alanine catabolic process [GO:0006524]; chronological cell aging [GO:0001300]; L-alanine catabolic process [GO:0042853]	L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P52892	507	56,770	biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53954	548	63,143	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	alpha-1,2-mannosyltransferase activity [GO:0000026]; GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P43633	760	86,087	cellular response to DNA damage stimulus [GO:0006974]; intracellular signal transduction [GO:0035556]; mitotic nuclear division [GO:0007067]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36090	516	58,895			lipid particle [GO:0005811]
Q06497	328	36,367	ATP transport [GO:0015867]; fatty acid beta-oxidation [GO:0006635]; peroxisome organization [GO:0007031]; proton transport [GO:0015992]; translation [GO:0006412]	adenine nucleotide transmembrane transporter activity [GO:0000295]; structural constituent of ribosome [GO:0003735]	integral component of peroxisomal membrane [GO:0005779]
P36000	726	81,869	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin binding [GO:0030276]; protein transporter activity [GO:0008565]	AP-1 adaptor complex [GO:0030121]; clathrin-coated pit [GO:0005905]; plasma membrane [GO:0005886]
P25371	1049	117,231	transmembrane transport [GO:0055085]	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38872	237	27,884	ascospore wall assembly [GO:0030476]		cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
P39925	761	84,544	cristae formation [GO:0042407]; cytoplasmic translation [GO:0002181]; mitochondrial fusion [GO:0008053]; mitochondrial protein processing [GO:0034982]; protein complex assembly [GO:0006461]; protein import into mitochondrial intermembrane space [GO:0045041]; proteolysis [GO:0006508]; replicative cell aging [GO:0001302]; signal peptide processing [GO:0006465]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	m-AAA complex [GO:0005745]; mitochondrial inner boundary membrane [GO:0097002]; mitochondrial inner membrane [GO:0005743]
P22149	690	77,683	cardiolipin metabolic process [GO:0032048]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic chromosome segregation [GO:0045132]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of iron ion transport [GO:0034758]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0036086]; transcription, DNA-templated [GO:0006351]	core promoter proximal region sequence-specific DNA binding [GO:0000987]; metal ion binding [GO:0046872]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P43548	558	61,052	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
P29589	182	19,776			
P32858	118	12,936	macroautophagy [GO:0016236]; mitophagy [GO:0000422]		integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
Q04689	311	35,977			
Q08223	395	45,851			integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]
Q12032	185	21,229		carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	mitochondrion [GO:0005739]
P53730	551	62,672	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]	alpha-1,6-mannosyltransferase activity [GO:0000009]; dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity [GO:0052917]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P53178	202	22,661	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity [GO:0004577]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; UDP-N-acetylglucosamine transferase complex [GO:0043541]
P38179	458	52,861	oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	alpha-1,3-mannosyltransferase activity [GO:0000033]; dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P25335	343	38,714	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]	allantoicase activity [GO:0004037]	
P54783	526	59,494	cellular response to oxidative stress [GO:0034599]; dehydro-D-arabinono-1,4-lactone biosynthetic process [GO:0070485]	D-arabinono-1,4-lactone oxidase activity [GO:0003885]; flavin adenine dinucleotide binding [GO:0050660]	integral component of mitochondrial outer membrane [GO:0031307]; mitochondrion [GO:0005739]
