Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P28240	ACEA_YEAST	Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)	cytoplasm [GO:0005737]; proteinaceous extracellular matrix [GO:0005578]; vacuole [GO:0005773]	isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]; transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912]	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	557	62,409
Q03771	ACL4_YEAST	Assembly chaperone of RPL4	cytoplasm [GO:0005737]; nucleus [GO:0005634]		ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; ribosome biogenesis [GO:0042254]	387	42,943
P39533	ACON2_YEAST	Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)	mitochondrion [GO:0005739]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]	lysine biosynthetic process via aminoadipic acid [GO:0019878]; tricarboxylic acid cycle [GO:0006099]	789	86,583
P19414	ACON_YEAST	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; double-stranded DNA binding [GO:0003690]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]	mitochondrial genome maintenance [GO:0000002]; protein targeting to mitochondrion [GO:0006626]; tricarboxylic acid cycle [GO:0006099]	778	85,368
P14164	ABF1_YEAST	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)	nucleotide-excision repair factor 4 complex [GO:0000113]; nucleus [GO:0005634]	core promoter sequence-specific DNA binding [GO:0001046]; DNA replication origin binding [GO:0003688]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific DNA binding, bending [GO:0044374]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	chromatin remodeling [GO:0006338]; chromatin silencing at silent mating-type cassette [GO:0030466]; DNA-dependent DNA replication [GO:0006261]; global genome nucleotide-excision repair [GO:0070911]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	731	81,753
P47146	ABM1_YEAST	Aberrant microtubules protein 1			microtubule cytoskeleton organization [GO:0000226]	123	14,204
P31787	ACBP_YEAST	Acyl-CoA-binding protein (ACBP)	extracellular region [GO:0005576]	fatty-acyl-CoA binding [GO:0000062]; lipid binding [GO:0008289]; long-chain fatty acid transporter activity [GO:0005324]	chronological cell aging [GO:0001300]; long-chain fatty acid transport [GO:0015909]	87	10,061
Q01574	ACS1_YEAST	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	acetate fermentation [GO:0019654]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; histone acetylation [GO:0016573]	713	79,141
P10127	ADH4_YEAST	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	mitochondrion [GO:0005739]	alcohol dehydrogenase (NAD) activity [GO:0004022]; metal ion binding [GO:0046872]	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; fermentation [GO:0006113]	382	41,142
P38903	2A5D_YEAST	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	cellular bud neck [GO:0005935]; condensed nuclear chromosome, centromeric region [GO:0000780]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; spindle pole body [GO:0005816]	protein phosphatase type 2A regulator activity [GO:0008601]	cellular bud neck septin ring organization [GO:0032186]; cellular protein localization [GO:0034613]; establishment of protein localization to chromosome [GO:0070199]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle orientation checkpoint [GO:0031578]; protein dephosphorylation [GO:0006470]; septin ring disassembly [GO:0031107]; signal transduction [GO:0007165]; sister chromatid biorientation [GO:0031134]	757	85,335
P31383	2AAA_YEAST	Protein phosphatase PP2A regulatory subunit A (PR65)	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; spindle pole body [GO:0005816]		mitotic spindle assembly checkpoint [GO:0007094]; protein dephosphorylation [GO:0006470]; regulation of translation [GO:0006417]	635	70,907
P47177	2NDP_YEAST	Putative nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)	cytoplasm [GO:0005737]	nitronate monooxygenase activity [GO:0018580]		404	45,159
P47129	ACF4_YEAST	Assembly-complementing factor 4				309	35,521
P60010	ACT_YEAST	Actin	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud neck contractile ring [GO:0000142]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]	ATP binding [GO:0005524]; structural constituent of cytoskeleton [GO:0005200]	actomyosin contractile ring contraction [GO:0000916]; ascospore wall assembly [GO:0030476]; budding cell isotropic bud growth [GO:0007119]; cellular response to oxidative stress [GO:0034599]; chronological cell aging [GO:0001300]; DNA repair [GO:0006281]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; establishment of mitotic spindle orientation [GO:0000132]; exocytosis [GO:0006887]; fungal-type cell wall organization [GO:0031505]; histone acetylation [GO:0016573]; mitochondrion inheritance [GO:0000001]; protein secretion [GO:0009306]; vacuole inheritance [GO:0000011]; vesicle transport along actin filament [GO:0030050]	375	41,69
P21192	ACE2_YEAST	Metallothionein expression activator	cytosol [GO:0005829]; nucleus [GO:0005634]	core promoter proximal region sequence-specific DNA binding [GO:0000987]; metal ion binding [GO:0046872]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	positive regulation of cell separation after cytokinesis [GO:2001043]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; transcription, DNA-templated [GO:0006351]	770	86,634
Q12031	ACEB_YEAST	Mitochondrial 2-methylisocitrate lyase (Methylisocitrate lyase) (EC 4.1.3.30)	mitochondrial matrix [GO:0005759]	methylisocitrate lyase activity [GO:0046421]; transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912]	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	575	64,976
P52910	ACS2_YEAST	Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]	acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; histone acetylation [GO:0016573]; pyruvate metabolic process [GO:0006090]; replicative cell aging [GO:0001302]	683	75,492
P04710	ADT1_YEAST	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	ATP:ADP antiporter activity [GO:0005471]; structural constituent of ribosome [GO:0003735]	aerobic respiration [GO:0009060]; heme biosynthetic process [GO:0006783]; heme transport [GO:0015886]; mitochondrial transport [GO:0006839]; protein targeting to mitochondrion [GO:0006626]; translation [GO:0006412]	309	34,121
P18238	ADT3_YEAST	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	ATP:ADP antiporter activity [GO:0005471]; structural constituent of ribosome [GO:0003735]	anaerobic respiration [GO:0009061]; heme transport [GO:0015886]; translation [GO:0006412]; transmembrane transport [GO:0055085]	307	33,313
P25613	ADY2_YEAST	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]	acetate transmembrane transporter activity [GO:0015123]; ammonium transmembrane transporter activity [GO:0008519]	acetate transport [GO:0006846]; ammonium transport [GO:0015696]; meiotic cell cycle [GO:0051321]; nitrogen utilization [GO:0019740]; plasma membrane acetate transport [GO:0006847]; transmembrane transport [GO:0055085]	283	30,726
P33304	AFR1_YEAST	Protein AFR1	mating projection base [GO:0001400]	receptor signaling protein activity [GO:0005057]	cell morphogenesis involved in conjugation [GO:0000767]; cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; regulation of G-protein coupled receptor protein signaling pathway [GO:0008277]	620	71,364
P32323	AGA1_YEAST	A-agglutinin anchorage subunit (A-agglutinin cell wall attachment subunit)	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]	cell adhesion molecule binding [GO:0050839]	agglutination involved in conjugation with cellular fusion [GO:0000752]	725	73,354
P47182	AAD10_YEAST	Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	288	32,57
P12904	AAKG_YEAST	5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)	cytoplasm [GO:0005737]; nuclear envelope lumen [GO:0005641]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; catalytic activity [GO:0003824]; protein serine/threonine kinase activator activity [GO:0043539]	carbohydrate metabolic process [GO:0005975]; peroxisome organization [GO:0007031]; positive regulation of gluconeogenesis [GO:0045722]; protein phosphorylation [GO:0006468]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; replicative cell aging [GO:0001302]; transcription, DNA-templated [GO:0006351]	322	36,401
Q08641	AB140_YEAST	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase (EC 2.1.1.268) (Actin-binding protein of 140 kDa) (tRNA methyltransferase of 140 kDa)	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]	actin filament binding [GO:0051015]; protein binding, bridging [GO:0030674]; tRNA (cytosine-3-)-methyltransferase activity [GO:0052735]	actin filament bundle assembly [GO:0051017]; tRNA methylation [GO:0030488]	628	71,486
P53319	6PGD2_YEAST	6-phosphogluconate dehydrogenase, decarboxylating 2 (EC 1.1.1.44)	cytosol [GO:0005829]	phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	492	53,923
P42884	AAD14_YEAST	Putative aryl-alcohol dehydrogenase AAD14 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	376	41,991
P43547	AAD6_YEAST	Putative aryl-alcohol dehydrogenase AAD6 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	212	23,919
P47096	3HAO_YEAST	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; quinolinate metabolic process [GO:0046874]; tryptophan catabolic process [GO:0006569]	177	20,235
P40433	6P21_YEAST	6-phosphofructo-2-kinase 1 (6PF-2-K 1) (EC 2.7.1.105) (Phosphofructokinase 2 I)	cytoplasm [GO:0005737]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	827	93,417
Q04894	ADH6_YEAST	NADP-dependent alcohol dehydrogenase 6 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VI) (ScADHVI)		alcohol dehydrogenase (NADP+) activity [GO:0008106]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; hydroxymethylfurfural reductase (NADPH) activity [GO:0033845]; zinc ion binding [GO:0008270]	alcohol metabolic process [GO:0006066]; cellular aldehyde metabolic process [GO:0006081]; furaldehyde metabolic process [GO:0033859]	360	39,618
P25377	ADH7_YEAST	NADP-dependent alcohol dehydrogenase 7 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VII) (ADHVII)		alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]	alcohol metabolic process [GO:0006066]	361	39,348
Q05955	ADY4_YEAST	Accumulates dyads protein 4	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]	structural molecule activity [GO:0005198]	cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; sporulation resulting in formation of a cellular spore [GO:0030435]	493	57,833
P22136	AEP2_YEAST	ATPase expression protein 2, mitochondrial	mitochondrion [GO:0005739]	RNA binding [GO:0003723]	mitochondrial translational initiation [GO:0070124]; regulation of translation [GO:0006417]	580	67,523
Q12089	AEP3_YEAST	ATPase expression protein 3	extrinsic component of membrane [GO:0019898]; mitochondrial inner membrane [GO:0005743]		mitochondrial translational initiation [GO:0070124]; mRNA metabolic process [GO:0016071]	606	70,31
P32794	AFG2_YEAST	ATPase family gene 2 protein	intracellular [GO:0005622]; preribosome, large subunit precursor [GO:0030687]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	response to drug [GO:0042493]; ribosomal large subunit biogenesis [GO:0042273]	780	84,748
Q99222	AFI1_YEAST	ARF3-interacting protein 1	cell cortex [GO:0005938]; cellular bud neck [GO:0005935]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]		actin cortical patch localization [GO:0051666]; asymmetric protein localization [GO:0008105]; cellular bud site selection [GO:0000282]	893	102,25
P25649	AHC2_YEAST	ADA histone acetyltransferase complex component 2 (Putative transcriptional regulator AHC2)	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; cytoplasm [GO:0005737]		histone acetylation [GO:0016573]	128	15,117
P87275	AIM11_YEAST	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	integral component of membrane [GO:0016021]			137	15,753
P53109	AIM14_YEAST	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]	oxidoreductase activity, oxidizing metal ions [GO:0016722]; superoxide-generating NADPH oxidase activity [GO:0016175]	apoptotic process [GO:0006915]; ion transport [GO:0006811]; regulation of actin cytoskeleton organization [GO:0032956]	570	65,84
P38884	AIM18_YEAST	Altered inheritance of mitochondria protein 18, mitochondrial (Found in mitochondrial proteome protein 22)	mitochondrion [GO:0005739]	intramolecular lyase activity [GO:0016872]		321	36,502
P40502	AIM19_YEAST	Altered inheritance of mitochondria protein 19, mitochondrial	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]			157	16,924
P38266	AIM3_YEAST	Altered inheritance of mitochondria protein 3	actin cortical patch [GO:0030479]; membrane raft [GO:0045121]		actin cortical patch assembly [GO:0000147]; barbed-end actin filament capping [GO:0051016]	947	103,863
P38885	AIM46_YEAST	Altered inheritance of mitochondria protein 46, mitochondrial (Found in mitochondrial proteome protein 34)	mitochondrion [GO:0005739]	intramolecular lyase activity [GO:0016872]		310	34,113
P40350	ALG5_YEAST	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]; dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	dolichol metabolic process [GO:0019348]; GPI anchor biosynthetic process [GO:0006506]; protein N-linked glycosylation [GO:0006487]; protein O-linked mannosylation [GO:0035269]	334	38,347
P32375	ALN_YEAST	Allantoinase (EC 3.5.2.5)		allantoinase activity [GO:0004038]; cobalt ion binding [GO:0050897]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; zinc ion binding [GO:0008270]	allantoin assimilation pathway [GO:0009442]; purine nucleobase metabolic process [GO:0006144]	460	50,126
P47029	ALY2_YEAST	Arrestin-related trafficking adapter 3 (Arrestin-like protein 2)	early endosome [GO:0005769]; late endosome [GO:0005770]	protein binding, bridging [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; regulation of intracellular transport [GO:0032386]; ubiquitin-dependent endocytosis [GO:0070086]	1046	117,216
P07248	ADR1_YEAST	Regulatory protein ADR1	nucleus [GO:0005634]	metal ion binding [GO:0046872]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; TFIIB-class transcription factor binding [GO:0001093]; TFIID-class transcription factor binding [GO:0001094]; transcriptional activator activity, RNA polymerase II transcription factor binding [GO:0001190]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	cellular response to oleic acid [GO:0071400]; chromatin organization [GO:0006325]; negative regulation of chromatin silencing [GO:0031936]; peroxisome organization [GO:0007031]; positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter [GO:0061425]; positive regulation of fatty acid beta-oxidation by positive regulation of transcription from RNA polymerase II promoter [GO:0097235]; positive regulation of peroxisome organization by positive regulation of transcription from RNA polymerase II promoter [GO:0061424]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]; positive regulation of transcription from RNA polymerase II promoter in response to ethanol [GO:0061410]	1323	150,941
Q04412	AGE1_YEAST	ADP-ribosylation factor GTPase-activating protein effector protein 1 (ARF GAP effector protein 1) (Suppressor of ARF1 thermosensitive mutant protein 1)	endosome [GO:0005768]; trans-Golgi network [GO:0005802]	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]	ER to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]	482	54,494
